,still,still_music,hand_up,hand_down,walking,running,after_sprint,tapping_fingers,tapping_foot,flexing
300,92.28,82.22,76.2,1.72,86.41,-88.76,4.73,156.9,73.99,103.62
301,89.25,73.09,68.62,1.21,78.06,-79.19,-3.63,163.29,66.09,106.45
302,81.92,58.34,57.04,0.12,63.48,-64.5,-16.09,168.76,55.05,108.57
303,68.01,40.98,40.59,-1.53,45.77,-44.61,-35.12,172.97,39.99,110.63
304,50.32,22.08,22.79,-3.57,26.3,-22.81,-58.67,175.32,23.97,113.48
305,30.25,2.46,4.68,-5.74,6.28,-2.48,-86.31,174.85,7.42,117.04
306,9.32,-17.33,-13.46,-7.79,-13.47,14.05,-116.91,169.91,-9.93,120.95
307,-11.18,-37.0,-31.98,-9.57,-32.69,25.88,-148.05,163.42,-28.61,124.34
308,-30.59,-56.57,-51.53,-11.21,-51.63,33.16,-176.04,156.03,-49.18,125.93
309,-49.04,-76.4,-72.99,-12.95,-70.96,36.56,-196.73,148.07,-72.1,124.42
